drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,0,82.35,70.59,1.7111187469299374,"(365, 163)","(778, 302)",kicking vs kicking,0.774
Drill 101,1,100.0,47.06,1.7303995950083066,"(368, 179)","(751, 400)",kicking vs kicking,0.759
Drill 101,2,76.47,58.82,1.710544251652697,"(359, 161)","(751, 249)",kicking vs kicking,0.796
Drill 101,3,70.59,52.94,1.6949156035688013,"(358, 161)","(769, 365)",kicking vs kicking,0.741
Drill 101,4,76.47,35.29,1.7871159297025832,"(353, 160)","(736, 376)",kicking vs kicking,0.771
Drill 101,5,64.71,23.53,1.6344619151430175,"(358, 165)","(778, 301)",dribbling vs kicking,0.828
Drill 101,6,70.59,35.29,1.6001488329201994,"(326, 250)","(749, 259)",dribbling vs kicking,0.8
Drill 101,7,76.47,41.18,1.5474040525228214,"(364, 163)","(785, 311)",dribbling vs kicking,0.813
Drill 101,8,94.12,11.76,1.6399488185526445,"(363, 163)","(770, 375)",dribbling vs kicking,0.777
Drill 101,9,76.47,29.41,1.69065109261115,"(395, 262)","(649, 128)",dribbling vs kicking,0.791
Drill 101,10,76.47,29.41,1.6660249729787533,"(365, 160)","(764, 397)",dribbling vs kicking,0.763
Drill 101,11,82.35,52.94,1.6926894996486133,"(361, 176)","(749, 326)",dribbling vs kicking,0.797
Drill 101,12,88.24,58.82,1.6080243043284888,"(358, 165)","(737, 397)",dribbling vs kicking,0.776
Drill 101,13,88.24,52.94,1.710011943301488,"(374, 171)","(745, 331)",dribbling vs kicking,0.768
Drill 101,14,82.35,58.82,1.6982919398481184,"(338, 88)","(647, 141)",dribbling vs kicking,0.755
Drill 101,15,88.24,58.82,1.765877666310984,"(370, 166)","(686, 134)",dribbling vs kicking,0.772
Drill 101,16,70.59,11.76,1.7976745744775355,"(411, 315)","(662, 141)",dribbling vs kicking,0.812
Drill 101,17,88.24,5.88,1.7981630256919408,"(351, 165)","(749, 351)",dribbling vs kicking,0.707
Drill 101,18,82.35,5.88,1.7906873683202185,"(811, 119)","(647, 164)",dribbling vs kicking,0.804
Drill 101,19,88.24,0.0,1.7466656525039135,"(799, 117)","(745, 304)",dribbling vs kicking,0.826
Drill 101,20,82.35,11.76,1.6003098986354505,"(367, 172)","(770, 92)",dribbling vs kicking,0.759
Drill 101,21,64.71,5.88,1.462944012814292,"(147, 99)","(687, 69)",dribbling vs kicking,0.789
Drill 101,22,58.82,5.88,1.6826021652879688,"(326, 87)","(681, 94)",dribbling vs kicking,0.804
Drill 101,23,64.71,29.41,1.567146535832426,"(383, 172)","(682, 94)",dribbling vs kicking,0.8
Drill 101,24,76.47,11.76,1.679822716525052,"(797, 118)","(706, 199)",dribbling vs kicking,0.775
Drill 101,25,82.35,29.41,1.8065667854938139,"(379, 207)","(743, 121)",dribbling vs kicking,0.767
Drill 101,26,70.59,0.0,1.7638233975175888,"(801, 113)","(729, 352)",dribbling vs kicking,0.767
Drill 101,27,70.59,35.29,1.9074594892135643,"(399, 73)","(722, 412)",kicking vs kicking,0.8
Drill 101,28,76.47,23.53,1.856546403739181,"(395, 153)","(781, 110)",kicking vs kicking,0.836
Drill 101,29,82.35,17.65,1.7310047072317327,"(376, 164)","(656, 135)",kicking vs kicking,0.792
Drill 101,30,76.47,0.0,1.690179255404433,"(377, 163)","(259, 285)",kicking vs kicking,0.827
Drill 101,31,58.82,23.53,1.5421364624616754,"(389, 176)","(440, 273)",kicking vs kicking,0.772
Drill 101,32,76.47,17.65,1.8062946920646434,"(389, 173)","(766, 151)",kicking vs kicking,0.827
Drill 101,33,88.24,35.29,1.57936536288005,"(391, 170)","(663, 339)",kicking vs kicking,0.803
Drill 101,34,82.35,17.65,1.5161613899435675,"(398, 172)","(797, 337)",kicking vs kicking,0.809
Drill 101,35,88.24,29.41,1.6734219832725437,"(422, 293)","(245, 158)",kicking vs kicking,0.809
Drill 101,36,76.47,29.41,1.5960753445168596,"(385, 167)","(407, 297)",kicking vs kicking,0.813
Drill 101,37,94.12,41.18,1.4559607025147312,"(459, 323)","(794, 385)",kicking vs kicking,0.811
Drill 101,38,100.0,35.29,1.6002293637953269,"(394, 257)","(643, 190)",kicking vs kicking,0.803
Drill 101,39,94.12,35.29,1.6686101445240762,"(441, 295)","(773, 175)",dribbling vs kicking,0.814
Drill 101,40,82.35,70.59,1.579605119012745,"(434, 176)","(245, 179)",kicking vs kicking,0.802
Drill 101,41,76.47,52.94,1.418616878484582,"(455, 293)","(381, 242)",dribbling vs kicking,0.825
Drill 101,42,94.12,35.29,1.3949353449135398,"(493, 301)","(790, 215)",dribbling vs kicking,0.827
Drill 101,43,70.59,29.41,1.398442580818297,"(443, 179)","(253, 208)",kicking vs kicking,0.8
Drill 101,44,88.24,29.41,1.6905891439858591,"(448, 289)","(311, 190)",kicking vs kicking,0.82
Drill 101,45,88.24,29.41,1.5266466728220591,"(649, 127)","(311, 195)",dribbling vs kicking,0.745
Drill 101,46,70.59,70.59,1.1509995387066028,"(503, 137)","(249, 205)",dribbling vs kicking,0.765
Drill 101,47,94.12,41.18,1.423085105317593,"(471, 307)","(259, 148)",kicking vs kicking,0.703
Drill 101,48,94.12,41.18,1.3749467900631807,"(472, 365)","(818, 368)",dribbling vs kicking,0.697
Drill 101,49,82.35,64.71,1.3713090049149301,"(730, 109)","(761, 349)",dribbling vs kicking,0.763
Drill 101,50,76.47,41.18,1.4161384876475547,"(410, 67)","(469, 232)",dribbling vs kicking,0.744
Drill 101,51,70.59,70.59,1.2394452304727772,"(409, 64)","(217, 148)",dribbling vs kicking,0.773
Drill 101,52,100.0,58.82,1.2852825659266383,"(387, 301)","(217, 153)",dribbling vs kicking,0.807
Drill 101,53,88.24,64.71,1.2519214359692872,"(381, 301)","(777, 148)",dribbling vs kicking,0.761
Drill 101,54,76.47,70.59,1.1580685541697369,"(410, 290)","(788, 212)",dribbling vs kicking,0.795
Drill 101,55,94.12,47.06,1.292701798059482,"(489, 131)","(773, 45)",dribbling vs kicking,0.794
Drill 101,56,94.12,70.59,1.3542351148606506,"(257, 71)","(245, 262)",dribbling vs kicking,0.783
Drill 101,57,100.0,70.59,1.3649490423817068,"(785, 80)","(751, 99)",dribbling vs kicking,0.782
Drill 101,58,82.35,64.71,1.2119961290088854,"(391, 338)","(249, 251)",dribbling vs kicking,0.771
Drill 101,59,88.24,58.82,1.2619017507353352,"(412, 295)","(253, 273)",dribbling vs kicking,0.746
Drill 101,60,100.0,17.65,1.743498432230658,"(710, 106)","(742, 88)",dribbling vs kicking,0.76
Drill 101,61,100.0,35.29,1.6135511711730546,"(401, 172)","(748, 332)",dribbling vs kicking,0.768
Drill 101,62,82.35,47.06,1.4160190043049965,"(413, 113)","(767, 112)",dribbling vs kicking,0.745
Drill 101,63,94.12,35.29,1.5416766121380758,"(646, 405)","(243, 297)",dribbling vs kicking,0.741
Drill 101,64,82.35,58.82,1.2483704843823304,"(791, 85)","(749, 353)",dribbling vs kicking,0.771
Drill 101,65,76.47,23.53,1.438519398650987,"(731, 73)","(217, 287)",dribbling vs kicking,0.746
Drill 101,66,82.35,17.65,1.4327278046954468,"(386, 313)","(766, 377)",dribbling vs kicking,0.747
